Feb 19, 2016	2.604	2.604	2.604	2.604	-1.03%
Feb 18, 2016	2.631	2.631	2.631	2.631	-2.01%
Feb 17, 2016	2.685	2.685	2.685	2.685	1.67%
Feb 16, 2016	2.641	2.641	2.641	2.641	0.50%
Feb 15, 2016	2.628	2.602	2.632	2.602	0.97%
Feb 14, 2016	2.602	2.602	2.602	2.602	0.02%
Feb 12, 2016	2.602	2.602	2.602	2.602	3.96%
Feb 11, 2016	2.503	2.503	2.503	2.503	-1.03%
Feb 10, 2016	2.529	2.529	2.529	2.529	-1.02%
Feb 09, 2016	2.555	2.555	2.555	2.555	-0.20%
Feb 08, 2016	2.56	2.56	2.56	2.56	-4.66%
Feb 07, 2016	2.685	2.684	2.687	2.683	0.16%
Feb 05, 2016	2.681	2.681	2.681	2.681	-0.63%
Feb 04, 2016	2.698	2.698	2.698	2.698	-0.26%
Feb 03, 2016	2.705	2.705	2.705	2.705	1.01%
Feb 02, 2016	2.678	2.678	2.678	2.678	-3.70%
Feb 01, 2016	2.781	2.781	2.781	2.781	0.91%
Jan 31, 2016	2.756	2.761	2.761	2.753	-0.04%
Jan 29, 2016	2.757	2.757	2.757	2.757	-1.25%
Jan 28, 2016	2.792	2.792	2.792	2.792	0.00%
Jan 27, 2016	2.792	2.792	2.792	2.792	0.40%
Jan 26, 2016	2.781	2.781	2.781	2.781	-0.75%
Jan 25, 2016	2.802	2.802	2.802	2.802	-0.88%
Jan 24, 2016	2.827	2.828	2.848	2.825	0.21%
Jan 22, 2016	2.821	2.821	2.821	2.821	0.86%
Jan 21, 2016	2.797	2.797	2.797	2.797	1.49%
Jan 20, 2016	2.756	2.756	2.756	2.756	-1.78%
Jan 19, 2016	2.806	2.806	2.806	2.806	-0.77%
Jan 18, 2016	2.828	2.825	2.829	2.825	0.49%
Jan 15, 2016	2.814	2.814	2.814	2.814	-2.70%
Jan 14, 2016	2.892	2.892	2.892	2.892	1.58%
Jan 13, 2016	2.847	2.847	2.847	2.847	-1.18%
Jan 12, 2016	2.881	2.881	2.881	2.881	-2.57%
Jan 11, 2016	2.957	2.957	2.957	2.957	1.66%
Jan 10, 2016	2.909	2.909	2.909	2.909	-0.42%
Jan 08, 2016	2.921	2.921	2.921	2.921	-0.17%
Jan 07, 2016	2.926	2.926	2.926	2.926	-0.48%
Jan 06, 2016	2.94	2.94	2.94	2.94	-2.36%
Jan 05, 2016	3.011	3.011	3.011	3.011	0.74%
Jan 04, 2016	2.989	2.989	2.989	2.989	-1.60%
Jan 03, 2016	3.037	3.037	3.038	3.036	0.81%
Dec 31, 2015	3.013	3.013	3.013	3.013	-0.99%
Dec 30, 2015	3.043	3.043	3.043	3.043	0.07%
Dec 29, 2015	3.041	3.041	3.041	3.041	3.44%
Dec 28, 2015	2.94	2.94	2.94	2.94	-1.19%
Dec 27, 2015	2.975	2.964	2.978	2.964	0.42%
Dec 24, 2015	2.963	2.963	2.963	2.963	-1.17%
Dec 23, 2015	2.998	2.998	2.998	2.998	1.15%
Dec 22, 2015	2.964	2.964	2.964	2.964	1.33%
Dec 21, 2015	2.925	2.925	2.925	2.925	0.05%
Dec 20, 2015	2.924	2.925	2.926	2.923	0.53%
Dec 18, 2015	2.908	2.908	2.908	2.908	-0.95%
Dec 17, 2015	2.936	2.936	2.936	2.936	-2.26%
